strategy,cutoff_et,open_bars,rr,vol_confirm,train_trades,train_exp_r,train_pf,chop_filter,stop_sigmas,time_stop_bars,z_entry,hold_above,stop_lookback
orb,10:30,3.0,1.5,False,2652,0.003,0.962,,,,,,
orb,10:30,3.0,1.5,True,56,-0.141,0.555,,,,,,
orb,10:30,3.0,2.0,False,2652,-0.003,0.955,,,,,,
orb,10:30,3.0,2.0,True,56,-0.143,0.544,,,,,,
orb,10:30,3.0,3.0,False,2652,-0.004,0.938,,,,,,
orb,10:30,3.0,3.0,True,56,-0.08,0.612,,,,,,
orb,10:30,6.0,1.5,False,1741,-0.01,0.94,,,,,,
orb,10:30,6.0,1.5,True,88,-0.028,0.928,,,,,,
orb,10:30,6.0,2.0,False,1741,-0.009,0.946,,,,,,
orb,10:30,6.0,2.0,True,88,-0.027,0.93,,,,,,
orb,10:30,6.0,3.0,False,1741,-0.01,0.938,,,,,,
orb,10:30,6.0,3.0,True,88,-0.022,0.946,,,,,,
orb,11:30,3.0,1.5,False,3279,-0.002,0.946,,,,,,
orb,11:30,3.0,1.5,True,67,-0.064,0.673,,,,,,
orb,11:30,3.0,2.0,False,3279,-0.005,0.945,,,,,,
orb,11:30,3.0,2.0,True,67,-0.066,0.658,,,,,,
orb,11:30,3.0,3.0,False,3279,-0.007,0.929,,,,,,
orb,11:30,3.0,3.0,True,67,-0.014,0.725,,,,,,
orb,11:30,6.0,1.5,False,2549,-0.013,0.917,,,,,,
orb,11:30,6.0,1.5,True,111,0.034,1.014,,,,,,
orb,11:30,6.0,2.0,False,2549,-0.012,0.92,,,,,,
orb,11:30,6.0,2.0,True,111,0.029,1.003,,,,,,
orb,11:30,6.0,3.0,False,2549,-0.015,0.911,,,,,,
orb,11:30,6.0,3.0,True,111,0.042,1.022,,,,,,
vwap_revert,,,,,5411,-0.109,0.859,False,1.0,12.0,1.5,,
vwap_revert,,,,,4994,-0.09,0.898,False,1.0,12.0,2.0,,
vwap_revert,,,,,4548,-0.074,0.927,False,1.0,12.0,2.5,,
vwap_revert,,,,,5411,-0.112,0.854,False,1.0,24.0,1.5,,
vwap_revert,,,,,4994,-0.087,0.895,False,1.0,24.0,2.0,,
vwap_revert,,,,,4548,-0.069,0.925,False,1.0,24.0,2.5,,
vwap_revert,,,,,5413,-0.072,0.902,False,1.5,12.0,1.5,,
vwap_revert,,,,,4995,-0.063,0.929,False,1.5,12.0,2.0,,
vwap_revert,,,,,4549,-0.075,0.914,False,1.5,12.0,2.5,,
vwap_revert,,,,,5413,-0.079,0.887,False,1.5,24.0,1.5,,
vwap_revert,,,,,4995,-0.068,0.913,False,1.5,24.0,2.0,,
vwap_revert,,,,,4549,-0.073,0.91,False,1.5,24.0,2.5,,
vwap_revert,,,,,4579,-0.103,0.871,True,1.0,12.0,1.5,,
vwap_revert,,,,,4154,-0.078,0.901,True,1.0,12.0,2.0,,
vwap_revert,,,,,3697,-0.052,0.955,True,1.0,12.0,2.5,,
vwap_revert,,,,,4579,-0.111,0.85,True,1.0,24.0,1.5,,
vwap_revert,,,,,4154,-0.077,0.889,True,1.0,24.0,2.0,,
vwap_revert,,,,,3697,-0.052,0.942,True,1.0,24.0,2.5,,
vwap_revert,,,,,4581,-0.066,0.914,True,1.5,12.0,1.5,,
vwap_revert,,,,,4155,-0.054,0.942,True,1.5,12.0,2.0,,
vwap_revert,,,,,3699,-0.054,0.951,True,1.5,12.0,2.5,,
vwap_revert,,,,,4581,-0.076,0.885,True,1.5,24.0,1.5,,
vwap_revert,,,,,4155,-0.06,0.917,True,1.5,24.0,2.0,,
vwap_revert,,,,,3699,-0.055,0.933,True,1.5,24.0,2.5,,
momentum,,,2.0,,1904,-0.166,0.888,,,24.0,,3.0,6.0
momentum,,,2.0,,1904,-0.166,0.893,,,36.0,,3.0,6.0
momentum,,,2.0,,1893,-0.109,0.962,,,24.0,,3.0,12.0
momentum,,,2.0,,1893,-0.114,0.953,,,36.0,,3.0,12.0
momentum,,,3.0,,1904,-0.112,0.977,,,24.0,,3.0,6.0
momentum,,,3.0,,1904,-0.108,0.998,,,36.0,,3.0,6.0
momentum,,,3.0,,1893,-0.071,1.0,,,24.0,,3.0,12.0
momentum,,,3.0,,1893,-0.084,0.961,,,36.0,,3.0,12.0
momentum,,,2.0,,1649,-0.199,0.839,,,24.0,,6.0,6.0
momentum,,,2.0,,1649,-0.201,0.841,,,36.0,,6.0,6.0
momentum,,,2.0,,1640,-0.143,0.934,,,24.0,,6.0,12.0
momentum,,,2.0,,1640,-0.154,0.909,,,36.0,,6.0,12.0
momentum,,,3.0,,1649,-0.156,0.883,,,24.0,,6.0,6.0
momentum,,,3.0,,1649,-0.155,0.902,,,36.0,,6.0,6.0
momentum,,,3.0,,1640,-0.108,0.974,,,24.0,,6.0,12.0
momentum,,,3.0,,1640,-0.123,0.922,,,36.0,,6.0,12.0
