symbol,strategy,date,entry_time,exit_time,entry,exit,shares,stop,target,pnl,r_multiple,exit_reason,signal_reason
AAPL,momentum,2024-07-01,15:30:00,15:45:00,215.54,216.33,92,215.14,216.34,72.68,1.975,target,momo_vwap_pullback
AAPL,momentum,2024-07-05,10:55:00,10:55:00,224.002,224.336,89,223.83,224.346,29.73,1.942,target,momo_vwap_pullback
AAPL,momentum,2024-07-09,10:45:00,15:50:00,228.056,228.46,87,227.3,229.568,35.15,0.534,eod_flat,momo_vwap_pullback
AAPL,momentum,2024-07-12,12:05:00,13:30:00,231.01,232.0,86,230.51,232.01,85.14,1.98,target,momo_vwap_pullback
AAPL,momentum,2024-07-19,10:40:00,10:40:00,225.7087,224.92,88,224.93,227.2661,-69.41,-1.013,stop,momo_vwap_pullback
AAPL,momentum,2024-07-23,10:50:00,11:05:00,224.47,225.1988,89,224.1006,225.2088,64.86,1.973,target,momo_vwap_pullback
AAPL,momentum,2024-07-31,11:05:00,11:10:00,222.55,222.31,89,222.32,223.01,-21.36,-1.043,stop,momo_vwap_pullback
AAPL,momentum,2024-08-02,11:00:00,11:00:00,222.42,222.3457,89,222.3557,222.5486,-6.61,-1.156,stop,momo_vwap_pullback
AAPL,momentum,2024-08-07,12:10:00,13:05:00,211.83,211.17,94,211.18,213.13,-62.04,-1.015,stop,momo_vwap_pullback
AAPL,momentum,2024-08-12,11:50:00,13:00:00,218.05,217.14,91,217.15,219.85,-82.81,-1.011,stop,momo_vwap_pullback
AAPL,momentum,2024-08-15,11:10:00,11:25:00,224.35,224.16,89,224.17,224.71,-16.91,-1.056,stop,momo_vwap_pullback
AAPL,momentum,2024-08-16,10:40:00,10:45:00,224.57,224.25,89,224.26,225.19,-28.48,-1.032,stop,momo_vwap_pullback
AAPL,momentum,2024-08-21,11:15:00,11:50:00,226.88,225.86,88,225.87,228.9,-89.76,-1.01,stop,momo_vwap_pullback
AAPL,momentum,2024-08-23,10:40:00,10:45:00,227.2582,227.02,88,227.03,227.7146,-20.96,-1.044,stop,momo_vwap_pullback
AAPL,momentum,2024-08-29,13:50:00,14:00:00,231.55,231.33,86,231.34,231.97,-18.92,-1.048,stop,momo_vwap_pullback
AAPL,momentum,2024-09-05,10:50:00,10:50:00,224.09,223.93,89,223.94,224.39,-14.24,-1.067,stop,momo_vwap_pullback
AAPL,momentum,2024-09-10,10:55:00,12:00:00,219.13,218.21,91,218.22,220.95,-83.72,-1.011,stop,momo_vwap_pullback
AAPL,momentum,2024-09-17,11:00:00,11:45:00,216.115,216.655,92,215.84,216.665,49.68,1.964,target,momo_vwap_pullback
AAPL,momentum,2024-09-18,11:40:00,11:40:00,220.01,219.89,90,219.9,220.23,-10.8,-1.091,stop,momo_vwap_pullback
AAPL,momentum,2024-09-19,11:10:00,11:20:00,227.98,228.61,87,227.66,228.62,54.81,1.969,target,momo_vwap_pullback
AAPL,momentum,2024-10-07,11:20:00,12:05:00,225.0586,224.47,88,224.48,226.2158,-51.8,-1.017,stop,momo_vwap_pullback
AAPL,momentum,2024-10-08,11:10:00,11:15:00,224.83,224.69,88,224.7,225.09,-12.32,-1.077,stop,momo_vwap_pullback
AAPL,momentum,2024-10-10,10:40:00,12:00:00,227.98,228.67,87,227.63,228.68,60.03,1.971,target,momo_vwap_pullback
AAPL,momentum,2024-10-14,12:00:00,15:50:00,230.35,231.63,86,229.43,232.19,110.08,1.391,eod_flat,momo_vwap_pullback
AAPL,momentum,2024-10-15,10:40:00,10:40:00,236.05,235.67,84,235.68,236.79,-31.92,-1.027,stop,momo_vwap_pullback
AAPL,momentum,2024-10-21,10:45:00,10:45:00,235.68,235.16,84,235.17,236.7,-43.68,-1.02,stop,momo_vwap_pullback
AAPL,momentum,2024-10-24,11:10:00,11:45:00,229.9856,229.22,86,229.23,231.4968,-65.84,-1.013,stop,momo_vwap_pullback
AAPL,momentum,2024-10-25,12:00:00,12:20:00,232.04,232.59,86,231.76,232.6,47.3,1.964,target,momo_vwap_pullback
AAPL,momentum,2024-10-28,11:05:00,11:20:00,233.74,233.41,85,233.42,234.38,-28.05,-1.031,stop,momo_vwap_pullback
AAPL,momentum,2024-11-01,11:30:00,11:50:00,223.23,222.1,89,222.11,225.47,-100.57,-1.009,stop,momo_vwap_pullback
AAPL,momentum,2024-11-04,11:30:00,11:45:00,221.505,221.1201,90,221.1301,222.2548,-34.64,-1.027,stop,momo_vwap_pullback
AAPL,momentum,2024-11-06,11:15:00,14:40:00,224.46,223.68,89,223.69,226.0,-69.42,-1.013,stop,momo_vwap_pullback
AAPL,momentum,2024-11-14,15:35:00,15:50:00,227.345,227.8,87,226.98,228.075,39.59,1.247,eod_flat,momo_vwap_pullback
AAPL,momentum,2024-11-19,14:35:00,14:35:00,229.055,229.0,87,229.01,229.145,-4.78,-1.222,stop,momo_vwap_pullback
AAPL,momentum,2024-11-27,11:35:00,11:45:00,234.78,234.1446,85,234.1546,236.0308,-54.01,-1.016,stop,momo_vwap_pullback
AAPL,momentum,2024-12-02,11:30:00,11:30:00,239.84,239.43,83,239.44,240.64,-34.03,-1.025,stop,momo_vwap_pullback
AAPL,momentum,2024-12-04,10:40:00,10:55:00,243.48,243.21,82,243.22,244.0,-22.14,-1.038,stop,momo_vwap_pullback
AAPL,momentum,2024-12-06,10:45:00,12:40:00,243.65,242.99,82,243.0,244.95,-54.12,-1.015,stop,momo_vwap_pullback
AAPL,momentum,2024-12-11,11:45:00,11:45:00,249.625,249.56,80,249.57,249.735,-5.2,-1.182,stop,momo_vwap_pullback
AAPL,momentum,2024-12-12,15:20:00,15:50:00,247.795,248.07,80,247.45,248.485,22.0,0.797,eod_flat,momo_vwap_pullback
AAPL,momentum,2024-12-17,10:40:00,11:05:00,252.165,252.945,79,251.77,252.955,61.62,1.975,target,momo_vwap_pullback
AAPL,momentum,2024-12-19,12:55:00,12:55:00,250.0,250.55,80,249.72,250.56,44.0,1.964,target,momo_vwap_pullback
AAPL,momentum,2024-12-24,12:10:00,12:55:00,257.2847,258.1039,77,256.8701,258.1139,63.08,1.976,target,momo_vwap_pullback
AAPL,momentum,2025-01-06,12:35:00,12:35:00,245.7434,245.65,81,245.66,245.9102,-7.57,-1.12,stop,momo_vwap_pullback
AAPL,momentum,2025-01-07,10:45:00,10:50:00,244.945,244.1851,81,244.1951,246.4448,-61.55,-1.013,stop,momo_vwap_pullback
AAPL,momentum,2025-01-08,12:20:00,12:20:00,242.34,242.11,82,242.12,242.78,-18.86,-1.045,stop,momo_vwap_pullback
AAPL,momentum,2025-01-14,10:45:00,10:50:00,235.84,235.04,84,235.05,237.42,-67.2,-1.013,stop,momo_vwap_pullback
AAPL,momentum,2025-01-15,12:10:00,15:50:00,237.54,237.97,84,236.5024,239.6152,36.12,0.414,eod_flat,momo_vwap_pullback
AAPL,momentum,2025-01-23,10:50:00,10:50:00,225.67,225.5,88,225.51,225.99,-14.96,-1.062,stop,momo_vwap_pullback
AAPL,momentum,2025-01-29,12:00:00,12:55:00,236.55,236.12,84,236.13,237.39,-36.12,-1.024,stop,momo_vwap_pullback
AAPL,momentum,2025-02-11,15:25:00,15:25:00,233.0,233.19,85,232.9,233.2,16.15,1.9,target,momo_vwap_pullback
AAPL,momentum,2025-02-14,10:40:00,11:20:00,244.065,243.17,81,243.18,245.835,-72.49,-1.011,stop,momo_vwap_pullback
AAPL,momentum,2025-02-24,10:50:00,15:50:00,247.215,247.72,80,246.01,249.625,40.4,0.419,eod_flat,momo_vwap_pullback
AAPL,momentum,2025-02-27,11:50:00,11:50:00,241.0108,240.88,82,240.89,241.2524,-10.73,-1.083,stop,momo_vwap_pullback
AAPL,momentum,2025-03-03,10:45:00,14:50:00,242.44,239.99,82,240.0,247.32,-200.9,-1.004,stop,momo_vwap_pullback
AAPL,momentum,2025-03-04,11:15:00,12:30:00,239.23,237.64,83,237.65,242.39,-131.97,-1.006,stop,momo_vwap_pullback
AAPL,momentum,2025-03-06,11:40:00,11:40:00,236.23,235.99,84,236.0,236.69,-20.16,-1.043,stop,momo_vwap_pullback
AAPL,momentum,2025-03-18,10:45:00,10:55:00,214.235,213.72,93,213.73,215.245,-47.89,-1.02,stop,momo_vwap_pullback
AAPL,momentum,2025-03-19,11:55:00,12:10:00,216.46,215.51,92,215.52,218.34,-87.4,-1.011,stop,momo_vwap_pullback
AAPL,momentum,2025-03-20,11:40:00,12:05:00,215.99,215.415,92,215.425,217.12,-52.9,-1.018,stop,momo_vwap_pullback
AAPL,momentum,2025-03-21,11:50:00,12:00:00,213.22,212.67,93,212.68,214.3,-51.15,-1.019,stop,momo_vwap_pullback
AAPL,momentum,2025-03-25,13:35:00,13:50:00,222.7198,222.9494,89,222.6,222.9594,20.43,1.917,target,momo_vwap_pullback
AAPL,momentum,2025-04-01,10:40:00,15:50:00,222.095,222.545,90,220.8201,224.6448,40.5,0.353,eod_flat,momo_vwap_pullback
AAPL,momentum,2025-04-02,11:50:00,11:50:00,223.44,223.29,89,223.3,223.72,-13.35,-1.071,stop,momo_vwap_pullback
AAPL,momentum,2025-04-03,11:35:00,13:55:00,204.905,203.48,97,203.49,207.735,-138.22,-1.007,stop,momo_vwap_pullback
AAPL,momentum,2025-04-07,10:50:00,11:10:00,181.62,179.62,110,179.63,185.6,-220.0,-1.005,stop,momo_vwap_pullback
AAPL,momentum,2025-04-09,10:55:00,10:55:00,177.405,176.85,112,176.86,178.495,-62.16,-1.018,stop,momo_vwap_pullback
AAPL,momentum,2025-04-10,14:55:00,14:55:00,189.685,189.518,105,189.528,189.999,-17.54,-1.064,stop,momo_vwap_pullback
AAPL,momentum,2025-04-22,11:55:00,11:55:00,198.23,198.96,100,197.86,198.97,73.0,1.973,target,momo_vwap_pullback
AAPL,momentum,2025-04-23,11:05:00,11:20:00,207.31,206.18,96,206.19,209.55,-108.48,-1.009,stop,momo_vwap_pullback
AAPL,momentum,2025-04-29,11:30:00,11:30:00,211.05,210.66,94,210.67,211.81,-36.66,-1.026,stop,momo_vwap_pullback
AAPL,momentum,2025-05-01,12:05:00,14:45:00,211.99,213.13,94,211.415,213.14,107.16,1.983,target,momo_vwap_pullback
AAPL,momentum,2025-05-02,13:20:00,14:55:00,204.7614,204.14,97,204.15,205.9842,-60.28,-1.016,stop,momo_vwap_pullback
AAPL,momentum,2025-05-06,11:05:00,12:10:00,198.57,200.0,100,197.85,200.01,143.0,1.986,target,momo_vwap_pullback
AAPL,momentum,2025-05-13,11:45:00,11:45:00,210.86,210.76,94,210.77,211.04,-9.4,-1.111,stop,momo_vwap_pullback
AAPL,momentum,2025-05-14,10:40:00,10:45:00,212.97,212.62,93,212.63,213.65,-32.55,-1.029,stop,momo_vwap_pullback
AAPL,momentum,2025-05-20,11:05:00,11:20:00,207.71,207.35,96,207.36,208.41,-34.56,-1.029,stop,momo_vwap_pullback
AAPL,momentum,2025-05-21,12:35:00,12:55:00,205.87,205.5101,97,205.5201,206.5698,-34.91,-1.029,stop,momo_vwap_pullback
