symbol,strategy,date,entry_time,exit_time,entry,exit,shares,stop,target,pnl,r_multiple,exit_reason,signal_reason
AAPL,orb,2024-07-01,10:20:00,15:50:00,214.41,216.07,93,211.92,219.39,154.38,0.667,eod_flat,orb_break_214.04
AAPL,orb,2024-07-02,10:00:00,15:50:00,218.01,219.56,91,215.1,223.83,141.05,0.533,eod_flat,orb_break_217.46
AAPL,orb,2024-07-03,09:55:00,10:20:00,220.96,219.59,90,219.6,223.68,-123.3,-1.007,stop,orb_break_220.75
AAPL,orb,2024-07-05,09:55:00,15:50:00,223.78,225.77,89,221.65,228.04,177.11,0.934,eod_flat,orb_break_223.51
AAPL,orb,2024-07-09,10:05:00,15:50:00,228.3501,228.46,87,226.3721,232.3061,9.56,0.056,eod_flat,orb_break_228.28
AAPL,orb,2024-07-10,09:55:00,15:50:00,231.325,232.64,86,229.25,235.475,113.09,0.634,eod_flat,orb_break_231.06
AAPL,orb,2024-07-12,10:00:00,15:50:00,231.37,230.37,86,228.68,236.75,-86.0,-0.372,eod_flat,orb_break_230.25
AAPL,orb,2024-07-19,09:55:00,11:10:00,226.54,224.41,88,224.42,230.78,-187.44,-1.005,stop,orb_break_226.49
AAPL,orb,2024-07-23,09:55:00,15:50:00,224.5463,225.01,89,222.68,228.2789,41.27,0.248,eod_flat,orb_break_224.44
AAPL,orb,2024-07-29,09:50:00,15:50:00,219.005,218.73,91,215.75,225.515,-25.02,-0.084,eod_flat,orb_break_218.78
AAPL,orb,2024-07-31,10:20:00,15:50:00,223.27,222.54,89,220.63,228.55,-64.97,-0.277,eod_flat,orb_break_222.66
AAPL,orb,2024-08-09,10:15:00,15:50:00,214.38,216.31,93,211.97,219.2,179.49,0.801,eod_flat,orb_break_213.48
AAPL,orb,2024-08-12,10:15:00,15:50:00,217.89,216.89,91,215.6,222.47,-91.0,-0.437,eod_flat,orb_break_217.65
AAPL,orb,2024-08-13,10:05:00,15:50:00,221.67,220.94,90,219.01,226.99,-65.7,-0.274,eod_flat,orb_break_221.47
AAPL,orb,2024-08-14,11:05:00,15:50:00,222.145,221.68,90,219.7,227.035,-41.85,-0.19,eod_flat,orb_break_222.02
AAPL,orb,2024-08-15,10:20:00,15:50:00,224.975,224.6,88,222.76,229.405,-33.0,-0.169,eod_flat,orb_break_224.87
AAPL,orb,2024-08-16,10:15:00,15:50:00,224.76,225.57,88,223.6501,226.9798,71.28,0.73,eod_flat,orb_break_224.65
AAPL,orb,2024-08-21,09:50:00,10:55:00,226.84,225.9,88,225.91,228.7,-82.72,-1.011,stop,orb_break_226.80
AAPL,orb,2024-08-22,09:55:00,10:15:00,228.08,226.83,87,226.84,230.56,-108.75,-1.008,stop,orb_break_227.80
AAPL,orb,2024-08-23,09:50:00,10:50:00,227.09,225.5,88,225.51,230.25,-139.92,-1.006,stop,orb_break_226.89
AAPL,orb,2024-08-27,09:55:00,15:50:00,226.53,228.11,88,224.89,229.81,139.04,0.963,eod_flat,orb_break_226.27
AAPL,orb,2024-08-29,09:50:00,15:50:00,231.545,229.96,86,228.88,236.875,-136.31,-0.595,eod_flat,orb_break_231.45
AAPL,orb,2024-09-05,10:00:00,15:50:00,224.72,222.23,88,221.52,231.12,-219.12,-0.778,eod_flat,orb_break_224.33
AAPL,orb,2024-09-12,11:10:00,15:50:00,222.88,222.79,89,220.65,227.34,-8.01,-0.04,eod_flat,orb_break_222.58
AAPL,orb,2024-09-16,10:15:00,15:50:00,217.17,216.455,92,213.92,223.67,-65.78,-0.22,eod_flat,orb_break_216.81
AAPL,orb,2024-09-17,10:05:00,15:50:00,216.38,216.43,92,214.5,220.14,4.6,0.027,eod_flat,orb_break_216.29
AAPL,orb,2024-09-18,10:10:00,15:50:00,219.65,220.26,91,217.54,223.87,55.51,0.289,eod_flat,orb_break_219.55
