symbol,strategy,date,entry_time,exit_time,entry,exit,shares,stop,target,pnl,r_multiple,exit_reason,signal_reason,side
AAPL,strategy10_scalp,2024-07-02,09:41:00,12:10:00,216.8889,218.921,92,215.911,0.0,186.95,2.078,trail_stop,orh_break_retest_long,long
AAPL,strategy10_scalp,2024-07-03,09:52:00,10:12:00,220.98,219.842,90,219.852,0.0,-102.42,-1.009,stop,pdh_break_retest_long,long
AAPL,strategy10_scalp,2024-07-03,10:29:00,10:52:00,219.275,220.138,91,220.128,0.0,-78.53,-1.012,stop,orl_break_retest_short,short
AAPL,strategy10_scalp,2024-07-05,09:34:00,10:47:00,222.55,224.262,89,221.442,0.0,152.37,1.545,trail_stop,pdh_break_retest_long,long
AAPL,strategy10_scalp,2024-07-08,09:33:00,09:35:00,226.8634,225.96,88,225.97,0.0,-79.5,-1.011,stop,pdh_break_retest_long,long
AAPL,strategy10_scalp,2024-07-08,11:14:00,11:45:00,226.16,226.96,88,226.95,0.0,-70.4,-1.013,stop,orl_break_retest_short,short
AAPL,strategy10_scalp,2024-07-09,10:00:00,10:37:00,228.185,227.91,87,227.39,0.0,-23.93,-0.346,trail_stop,pdh_break_retest_long,long
AAPL,strategy10_scalp,2024-07-09,13:03:00,15:50:00,228.56,228.46,87,227.82,0.0,-8.7,-0.135,eod_flat,orh_break_retest_long,long
AAPL,strategy10_scalp,2024-07-10,09:43:00,10:33:00,230.88,230.7472,86,230.2872,0.0,-11.42,-0.224,trail_stop,orh_break_retest_long,long
AAPL,strategy10_scalp,2024-07-11,09:53:00,09:57:00,230.75,231.413,86,231.403,0.0,-57.02,-1.015,stop,orl_break_retest_short,short
AAPL,strategy10_scalp,2024-07-11,10:25:00,10:26:00,229.07,229.643,87,229.633,0.0,-49.85,-1.018,stop,pdl_break_retest_short,short
AAPL,strategy10_scalp,2024-07-12,10:23:00,11:59:00,230.66,231.028,86,229.528,0.0,31.65,0.325,trail_stop,orh_break_retest_long,long
AAPL,strategy10_scalp,2024-07-15,09:44:00,10:58:00,234.8051,235.396,85,235.716,0.0,-50.23,-0.649,trail_stop,orl_break_retest_short,short
AAPL,strategy10_scalp,2024-07-16,09:52:00,10:33:00,234.1914,234.279,85,235.304,0.0,-7.45,-0.079,trail_stop,orl_break_retest_short,short
AAPL,strategy10_scalp,2024-07-16,12:31:00,12:49:00,232.795,233.514,85,233.504,0.0,-61.11,-1.014,stop,pdl_break_retest_short,short
AAPL,strategy10_scalp,2024-07-17,09:48:00,11:08:00,228.97,228.664,87,229.734,0.0,26.62,0.401,trail_stop,orl_break_retest_short,short
AAPL,strategy10_scalp,2024-07-18,09:48:00,10:23:00,228.55,228.542,87,229.412,0.0,0.7,0.009,trail_stop,orl_break_retest_short,short
AAPL,strategy10_scalp,2024-07-18,11:03:00,12:41:00,226.25,223.922,88,227.122,0.0,204.86,2.67,trail_stop,pdl_break_retest_short,short
AAPL,strategy10_scalp,2024-07-19,09:51:00,10:29:00,226.39,225.103,88,225.113,0.0,-113.26,-1.008,stop,orh_break_retest_long,long
AAPL,strategy10_scalp,2024-07-19,11:33:00,14:06:00,223.6,224.837,89,225.237,0.0,-110.09,-0.756,trail_stop,orl_break_retest_short,short
AAPL,strategy10_scalp,2024-07-22,09:49:00,09:53:00,227.0,226.4375,88,226.4475,0.0,-49.5,-1.018,stop,pdh_break_retest_long,long
AAPL,strategy10_scalp,2024-07-22,10:33:00,10:39:00,226.1626,226.7825,88,226.7725,0.0,-54.55,-1.016,stop,orl_break_retest_short,short
