symbol,strategy,date,entry_time,exit_time,entry,exit,shares,stop,target,pnl,r_multiple,exit_reason,signal_reason,side
AAPL,strategy10_scalp,2026-07-23,09:37:00,10:31:00,321.89,322.1521,62,323.9059,0.0,-16.25,-0.13,trail_stop,pdl_break_retest_short,short
AAPL,strategy10_scalp,2026-07-23,12:29:00,13:50:00,320.385,321.3359,62,321.366,0.0,-58.96,-0.969,trail_stop,orl_break_retest_short,short
AAPL,strategy10_scalp,2026-07-24,09:33:00,12:49:00,324.92,332.955,61,322.905,0.0,490.14,3.988,trail_stop,pdh_break_retest_long,long
AAPL,strategy10_scalp,2026-07-27,09:39:00,11:40:00,335.83,337.265,59,333.095,0.0,84.67,0.525,trail_stop,pdh_break_retest_long,long
AAPL,strategy10_scalp,2026-07-27,11:45:00,12:55:00,338.3,336.015,59,335.845,0.0,-134.81,-0.931,trail_stop,orh_break_retest_long,long
AAPL,strategy10_scalp,2026-07-28,09:36:00,09:37:00,339.9575,339.005,58,339.015,0.0,-55.24,-1.011,stop,pdh_break_retest_long,long
AAPL,strategy10_scalp,2026-07-28,10:10:00,10:23:00,336.65,338.275,59,338.265,0.0,-95.87,-1.006,stop,orl_break_retest_short,short
AAPL,strategy10_scalp,2026-07-29,09:49:00,10:17:00,343.09,341.491,58,341.501,0.0,-92.74,-1.006,stop,orh_break_retest_long,long
AAPL,strategy10_scalp,2026-07-29,13:43:00,15:00:00,343.3499,342.721,58,342.161,0.0,-36.48,-0.529,trail_stop,pdh_break_retest_long,long
AAPL,strategy10_scalp,2026-07-30,09:47:00,09:51:00,331.53,332.742,60,332.732,0.0,-72.72,-1.008,stop,orl_break_retest_short,short
AMD,strategy10_scalp,2026-07-23,09:43:00,09:58:00,555.285,548.434,36,548.444,0.0,-246.64,-1.001,stop,orh_break_retest_long,long
AMD,strategy10_scalp,2026-07-23,11:17:00,12:25:00,539.99,544.1859,37,545.536,0.0,-155.25,-0.757,trail_stop,orl_break_retest_short,short
AMD,strategy10_scalp,2026-07-24,09:41:00,10:58:00,537.02,529.659,37,543.719,0.0,272.36,1.099,trail_stop,orl_break_retest_short,short
AMD,strategy10_scalp,2026-07-24,15:08:00,15:50:00,521.385,524.165,38,528.149,0.0,-105.64,-0.411,eod_flat,pdl_break_retest_short,short
AMD,strategy10_scalp,2026-07-27,09:41:00,12:04:00,513.82,484.7081,38,521.1,0.0,1106.25,3.999,trail_stop,pdl_break_retest_short,short
AMD,strategy10_scalp,2026-07-28,09:43:00,10:50:00,454.6508,454.617,43,462.907,0.0,1.45,0.004,trail_stop,orl_break_retest_short,short
AMD,strategy10_scalp,2026-07-29,10:00:00,12:30:00,440.645,430.5267,45,445.318,0.0,455.32,2.165,trail_stop,pdl_break_retest_short,short
AMD,strategy10_scalp,2026-07-29,15:18:00,15:50:00,444.54,434.77,44,450.518,0.0,429.88,1.634,eod_flat,orl_break_retest_short,short
AMD,strategy10_scalp,2026-07-30,09:35:00,10:53:00,461.55,488.1812,43,453.9012,0.0,1145.14,3.482,trail_stop,pdh_break_retest_long,long
AMZN,strategy10_scalp,2026-07-23,10:08:00,11:58:00,235.1301,233.51,85,236.3664,0.0,137.71,1.31,trail_stop,orl_break_retest_short,short
AMZN,strategy10_scalp,2026-07-24,10:01:00,10:59:00,232.44,233.0398,86,233.5998,0.0,-51.59,-0.517,trail_stop,orl_break_retest_short,short
AMZN,strategy10_scalp,2026-07-27,09:39:00,09:40:00,235.36,234.579,84,234.589,0.0,-65.6,-1.013,stop,pdh_break_retest_long,long
AMZN,strategy10_scalp,2026-07-27,11:32:00,13:54:00,232.88,232.231,85,233.581,0.0,55.17,0.926,trail_stop,orl_break_retest_short,short
AMZN,strategy10_scalp,2026-07-28,09:46:00,10:19:00,230.005,230.5,86,230.85,0.0,-42.57,-0.586,trail_stop,orl_break_retest_short,short
AMZN,strategy10_scalp,2026-07-29,10:17:00,11:32:00,227.835,228.501,87,228.601,0.0,-57.94,-0.869,trail_stop,pdl_break_retest_short,short
AMZN,strategy10_scalp,2026-07-29,11:56:00,12:23:00,228.15,228.641,87,228.911,0.0,-42.72,-0.645,trail_stop,orl_break_retest_short,short
AMZN,strategy10_scalp,2026-07-30,09:37:00,11:13:00,233.34,236.434,85,232.154,0.0,262.99,2.609,trail_stop,pdh_break_retest_long,long
AMZN,strategy10_scalp,2026-07-31,09:57:00,10:06:00,269.54,267.7436,74,267.7536,0.0,-132.93,-1.006,stop,orh_break_retest_long,long
GOOGL,strategy10_scalp,2026-07-23,10:08:00,11:38:00,319.72,317.951,62,321.041,0.0,109.68,1.339,trail_stop,orl_break_retest_short,short
GOOGL,strategy10_scalp,2026-07-24,10:11:00,10:30:00,320.975,319.491,62,319.501,0.0,-92.01,-1.007,stop,orh_break_retest_long,long
GOOGL,strategy10_scalp,2026-07-27,09:42:00,09:49:00,328.635,327.284,60,327.294,0.0,-81.06,-1.007,stop,orh_break_retest_long,long
GOOGL,strategy10_scalp,2026-07-27,10:45:00,11:34:00,324.95,327.474,61,323.494,0.0,153.96,1.734,trail_stop,pdh_break_retest_long,long
GOOGL,strategy10_scalp,2026-07-28,09:57:00,10:07:00,326.1,327.457,61,327.447,0.0,-82.78,-1.007,stop,orl_break_retest_short,short
GOOGL,strategy10_scalp,2026-07-29,09:51:00,10:53:00,332.855,334.494,60,334.664,0.0,-98.34,-0.906,trail_stop,orl_break_retest_short,short
GOOGL,strategy10_scalp,2026-07-29,13:04:00,15:18:00,336.645,339.746,59,334.736,0.0,182.96,1.624,trail_stop,pdh_break_retest_long,long
GOOGL,strategy10_scalp,2026-07-31,09:58:00,11:11:00,344.2,349.523,58,343.233,0.0,308.73,5.505,trail_stop,orh_break_retest_long,long
META,strategy10_scalp,2026-07-23,09:47:00,09:57:00,613.565,608.5502,32,608.5602,0.0,-160.47,-1.002,stop,orh_break_retest_long,long
META,strategy10_scalp,2026-07-23,10:44:00,11:58:00,604.775,602.3798,33,608.5498,0.0,79.04,0.635,trail_stop,orl_break_retest_short,short
META,strategy10_scalp,2026-07-24,10:00:00,10:20:00,601.82,604.913,33,604.903,0.0,-102.07,-1.003,stop,orl_break_retest_short,short
META,strategy10_scalp,2026-07-27,12:12:00,14:47:00,598.7,596.703,33,601.733,0.0,65.9,0.658,trail_stop,orl_break_retest_short,short
META,strategy10_scalp,2026-07-27,15:49:00,15:50:00,593.69,594.2,33,596.003,0.0,-16.83,-0.22,eod_flat,pdl_break_retest_short,short
META,strategy10_scalp,2026-07-28,09:51:00,09:52:00,592.31,594.953,33,594.943,0.0,-87.22,-1.004,stop,pdl_break_retest_short,short
META,strategy10_scalp,2026-07-28,09:55:00,11:17:00,593.26,593.423,33,597.373,0.0,-5.38,-0.04,trail_stop,orl_break_retest_short,short
META,strategy10_scalp,2026-07-29,09:59:00,10:01:00,588.56,590.95,33,590.94,0.0,-78.87,-1.004,stop,orl_break_retest_short,short
META,strategy10_scalp,2026-07-29,12:08:00,12:21:00,585.71,588.41,34,588.4,0.0,-91.8,-1.004,stop,pdl_break_retest_short,short
META,strategy10_scalp,2026-07-30,12:08:00,12:11:00,536.8486,533.685,37,533.695,0.0,-117.05,-1.003,stop,orh_break_retest_long,long
META,strategy10_scalp,2026-07-31,11:32:00,13:10:00,541.67,547.44,36,538.34,0.0,207.72,1.733,trail_stop,pdh_break_retest_long,long
MSFT,strategy10_scalp,2026-07-24,09:55:00,11:00:00,382.13,384.549,52,384.539,0.0,-125.79,-1.004,stop,orl_break_retest_short,short
MSFT,strategy10_scalp,2026-07-27,09:33:00,09:34:00,390.57,388.182,51,388.192,0.0,-121.79,-1.004,stop,pdh_break_retest_long,long
MSFT,strategy10_scalp,2026-07-27,11:15:00,11:36:00,393.04,391.762,50,391.602,0.0,-63.9,-0.889,trail_stop,orh_break_retest_long,long
MSFT,strategy10_scalp,2026-07-28,09:34:00,09:47:00,394.74,393.569,50,393.579,0.0,-58.55,-1.009,stop,pdh_break_retest_long,long
MSFT,strategy10_scalp,2026-07-28,10:24:00,10:28:00,396.64,395.539,50,395.549,0.0,-55.05,-1.009,stop,orh_break_retest_long,long
MSFT,strategy10_scalp,2026-07-29,09:35:00,09:58:00,390.75,392.212,51,392.202,0.0,-74.56,-1.007,stop,pdl_break_retest_short,short
MSFT,strategy10_scalp,2026-07-29,11:03:00,12:11:00,394.75,393.5481,50,393.378,0.0,-60.09,-0.876,trail_stop,orh_break_retest_long,long
MSFT,strategy10_scalp,2026-07-30,09:45:00,09:54:00,449.18,446.509,44,446.519,0.0,-117.52,-1.004,stop,orh_break_retest_long,long
MSFT,strategy10_scalp,2026-07-31,09:55:00,10:13:00,461.26,456.055,43,456.065,0.0,-223.81,-1.002,stop,pdh_break_retest_long,long
MSFT,strategy10_scalp,2026-07-31,12:11:00,15:50:00,461.91,462.42,43,457.225,0.0,21.93,0.109,eod_flat,orh_break_retest_long,long
